City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Sao Filipe,CV,72.61,broken clouds,14.8961,-24.4956,Tortuga B&B
2,Ushuaia,AR,50.0,overcast clouds,-54.8,-68.3,Albatros Hotel
3,Busselton,AU,68.0,broken clouds,-33.65,115.3333,Observatory Guest House
4,Port Alfred,ZA,70.99,clear sky,-33.5906,26.891,The Halyards Hotel
5,Mitsamiouli,KM,80.98,clear sky,-11.3847,43.2844,Foyer ADM
8,Rikitea,PF,78.13,clear sky,-23.1203,-134.9692,Pension Maro'i
10,Kapaa,US,75.2,broken clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
11,Vila Velha,BR,77.0,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
12,Bluff,NZ,60.01,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
13,Hobart,AU,66.2,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
14,Aswan,EG,84.96,clear sky,24.0934,32.907,Nuba Nile
16,Crestview,US,62.6,clear sky,30.7621,-86.5705,Holiday Inn Express & Suites Crestview South I-10
17,Alofi,NU,80.6,few clouds,-19.0595,-169.9187,Taloa Heights
18,Linqiong,CN,59.0,broken clouds,30.4159,103.4609,Tianlun Tanxianglou Hotel
21,Zhezkazgan,KZ,54.37,light rain,47.8043,67.7144,Ul. Ranova 15-1 Kvartiry Posutochno.
23,Port Macquarie,AU,75.99,clear sky,-31.4333,152.9167,Rydges Port Macquarie
24,Huejuquilla El Alto,MX,53.44,clear sky,22.6,-103.8667,Hotel Huexuquillan
25,Hermanus,ZA,63.0,light rain,-34.4187,19.2345,Misty Waves Boutique Hotel
26,The Valley,AI,79.0,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
27,Castro,BR,55.17,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
29,Mataura,NZ,60.01,scattered clouds,-46.1927,168.8643,Ellie's Villa
30,Morondava,MG,75.51,broken clouds,-20.2833,44.2833,La Case Bambou
31,Sao Joao Da Barra,BR,72.68,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
32,East London,ZA,69.8,clear sky,-33.0153,27.9116,Tu Casa
33,Jalu,LY,71.92,overcast clouds,29.0331,21.5482,صاحبة الفخامة
35,Cape Town,ZA,64.4,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
36,Bam,IR,78.33,broken clouds,29.105999999999998,58.357,Bam Tourist Hotel
37,Butaritari,KI,83.43,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
38,Cayenne,GF,80.01,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
40,Vaini,TO,82.4,few clouds,-21.2,-175.2,Keleti Beach Resort
43,Praia Da Vitoria,PT,60.01,few clouds,38.7333,-27.0667,Hotel Branco I
47,Bosaso,SO,84.97,overcast clouds,11.2842,49.1816,Red Sea Hotel
49,Orange,US,68.0,clear sky,33.7,-117.7675,Meadows
51,Mar Del Plata,AR,64.99,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
52,San Quintin,MX,61.27,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
55,Bayji,IQ,82.69,broken clouds,34.9311,43.486999999999995,قريه جديده
57,Etchoropo,MX,72.0,clear sky,26.7667,-109.6667,Campo de Andrés cruz jusaino
59,Padang,ID,84.99,few clouds,-0.9492,100.3543,Mercure Padang
61,Kahului,US,78.8,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
64,Vao,NC,77.58,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
65,Kruisfontein,ZA,68.0,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
66,Sitka,US,62.6,clear sky,57.0531,-135.33,Westmark Sitka
67,Yoichi,JP,57.2,few clouds,43.2039,140.7703,Marumatta Farm 21
69,Saint George,US,64.4,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
70,Puerto Ayora,EC,75.0,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
71,Ponta Do Sol,PT,57.0,clear sky,32.6667,-17.1,Hotel do Campo
72,Guider,CM,81.07,broken clouds,9.9342,13.9486,Hotel Falaise
73,San Juan,AR,72.7,broken clouds,-31.5375,-68.5364,Hotel Provincial
74,Sechura,PE,72.5,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
76,Ahipara,NZ,63.16,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
78,Arraial Do Cabo,BR,74.79,moderate rain,-22.9661,-42.0278,Pousada Porto Praia
80,Airai,TL,73.85,broken clouds,-8.9266,125.4092,Juvinal Martin
82,Bredasdorp,ZA,62.6,light rain,-34.5322,20.0403,Bredasdorp Country Manor
83,Hasaki,JP,72.0,few clouds,35.7333,140.8333,Hotel Sunrise Choshi
86,Lagoa,PT,60.57,overcast clouds,39.05,-27.9833,Casa Das Faias
87,Olinda,BR,71.6,few clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
89,Paveh,IR,53.6,broken clouds,35.0434,46.3565,اقامتگاه بوم‌گردی حسن ساعدی
93,Benidorm,ES,54.0,broken clouds,38.5382,-0.131,Medplaya Hotel Flamingo Oasis
94,Porto Walter,BR,72.32,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
95,Hithadhoo,MV,82.69,broken clouds,-0.6,73.0833,Scoop Guest House
96,Carutapera,BR,75.42,overcast clouds,-1.195,-46.02,Lidera
97,Hilo,US,75.2,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
98,Grand Gaube,MU,82.99,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
99,Atasu,KZ,51.19,broken clouds,48.6814,71.6433,Dostyk
100,New Norfolk,AU,66.0,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
102,Samarkand,UZ,69.8,scattered clouds,39.6542,66.9597,Ideal Hotel
