City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Sao Filipe,CV,14.8961,-24.4956,72.61,75,63,9.35,broken clouds
1,Vanavara,RU,60.34,102.2797,35.53,64,94,11.81,overcast clouds
2,Ushuaia,AR,-54.8,-68.3,50.0,76,90,13.8,overcast clouds
3,Busselton,AU,-33.65,115.3333,68.0,74,63,1.01,broken clouds
4,Port Alfred,ZA,-33.5906,26.891,70.99,72,3,22.75,clear sky
5,Mitsamiouli,KM,-11.3847,43.2844,80.98,77,6,9.75,clear sky
6,Punta Arenas,CL,-53.15,-70.9167,46.4,87,0,4.61,light rain
7,Matay,EG,28.419,30.7792,85.82,18,97,6.58,overcast clouds
8,Rikitea,PF,-23.1203,-134.9692,78.13,70,7,4.38,clear sky
9,Bay-Khaak,RU,51.1667,94.5,59.5,19,64,17.4,broken clouds
10,Kapaa,US,22.0752,-159.319,75.2,64,75,11.5,broken clouds
11,Vila Velha,BR,-20.3297,-40.2925,77.0,78,20,8.05,few clouds
12,Bluff,NZ,-46.6,168.3333,60.01,78,79,5.99,broken clouds
13,Hobart,AU,-42.8794,147.3294,66.2,34,75,27.63,broken clouds
14,Aswan,EG,24.0934,32.907,84.96,29,2,7.72,clear sky
15,Moskovskiy,RU,55.5991,37.355,48.2,53,0,15.66,clear sky
16,Crestview,US,30.7621,-86.5705,62.6,63,1,5.88,clear sky
17,Alofi,NU,-19.0595,-169.9187,80.6,65,20,11.5,few clouds
18,Linqiong,CN,30.4159,103.4609,59.0,100,75,4.47,broken clouds
19,Jamestown,US,42.097,-79.2353,44.01,81,75,8.05,broken clouds
20,Provideniya,RU,64.3833,-173.3,32.0,69,0,4.47,clear sky
21,Zhezkazgan,KZ,47.8043,67.7144,54.37,64,97,9.89,light rain
22,La Ronge,CA,55.1001,-105.2842,30.2,47,95,5.75,overcast clouds
23,Port Macquarie,AU,-31.4333,152.9167,75.99,40,0,6.51,clear sky
24,Huejuquilla El Alto,MX,22.6,-103.8667,53.44,44,1,3.53,clear sky
25,Hermanus,ZA,-34.4187,19.2345,63.0,91,100,3.0,light rain
26,The Valley,AI,18.217,-63.0578,79.0,78,20,9.22,few clouds
27,Castro,BR,-24.7911,-50.0119,55.17,95,40,6.04,scattered clouds
28,Severo-Kurilsk,RU,50.6789,156.125,35.71,97,100,29.93,heavy intensity rain
29,Mataura,NZ,-46.1927,168.8643,60.01,78,37,5.99,scattered clouds
30,Morondava,MG,-20.2833,44.2833,75.51,74,61,6.02,broken clouds
31,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.68,87,55,10.09,broken clouds
32,East London,ZA,-33.0153,27.9116,69.8,35,0,12.66,clear sky
33,Jalu,LY,29.0331,21.5482,71.92,42,100,24.54,overcast clouds
34,Tyulyachi,RU,55.8913,50.2399,37.4,38,0,15.66,clear sky
35,Cape Town,ZA,-33.9258,18.4232,64.4,88,0,26.46,clear sky
36,Bam,IR,29.106,58.357,78.33,19,83,14.38,broken clouds
